uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,7
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,HOSPITAL,"< 9",F,3
MG,PNEUMONIA,HOSPITAL,"< 9",M,2
MG,SEPTICEMIA,HOSPITAL,"< 9",F,18
MG,SEPTICEMIA,HOSPITAL,"< 9",M,16
MS,OUTRAS,DOMICILIO,"< 9",M,1
MS,OUTRAS,HOSPITAL,"< 9",F,8
MS,OUTRAS,HOSPITAL,"< 9",M,9
MS,OUTRAS,OUTRO,"< 9",F,1
MS,OUTRAS,POSTO_SAUDE,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
MS,SEPTICEMIA,HOSPITAL,"< 9",F,1
MS,SEPTICEMIA,HOSPITAL,"< 9",M,3
MT,OUTRAS,DOMICILIO,"< 9",F,1
MT,OUTRAS,HOSPITAL,"< 9",F,3
MT,OUTRAS,HOSPITAL,"< 9",M,6
MT,OUTRAS,IGNORADO,"< 9",F,2
MT,OUTRAS,IGNORADO,"< 9",M,2
MT,COVID,IGNORADO,"< 9",F,1
MT,INDETERMINADA,IGNORADO,"< 9",M,2
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
MT,SEPTICEMIA,HOSPITAL,"< 9",F,2
MT,SEPTICEMIA,HOSPITAL,"< 9",M,1
MT,SEPTICEMIA,IGNORADO,"< 9",F,2
MT,SEPTICEMIA,IGNORADO,"< 9",M,1
PA,OUTRAS,HOSPITAL,"< 9",F,7
PA,OUTRAS,HOSPITAL,"< 9",M,15
PA,OUTRAS,OUTRO,"< 9",M,1
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PA,OUTRAS,VIA_PUBLICA,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,3
PA,PNEUMONIA,HOSPITAL,"< 9",F,2
PA,SEPTICEMIA,HOSPITAL,"< 9",F,4
PA,SEPTICEMIA,HOSPITAL,"< 9",M,3
PB,OUTRAS,DOMICILIO,"< 9",F,3
PB,OUTRAS,DOMICILIO,"< 9",M,3
PB,OUTRAS,HOSPITAL,"< 9",F,7
PB,OUTRAS,HOSPITAL,"< 9",M,5
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PB,COVID,HOSPITAL,"< 9",M,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
PB,PNEUMONIA,HOSPITAL,"< 9",M,2
PB,SEPTICEMIA,HOSPITAL,"< 9",F,2
PB,SEPTICEMIA,HOSPITAL,"< 9",M,4
PE,OUTRAS,DOMICILIO,"< 9",F,1
PE,OUTRAS,HOSPITAL,"< 9",F,26
PE,OUTRAS,HOSPITAL,"< 9",I,1
PE,OUTRAS,HOSPITAL,"< 9",M,28
PE,OUTRAS,IGNORADO,"< 9",F,1
PE,OUTRAS,VIA_PUBLICA,"< 9",F,1
PE,INDETERMINADA,DOMICILIO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,3
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,5
PE,SEPTICEMIA,HOSPITAL,"< 9",F,6
PE,SEPTICEMIA,HOSPITAL,"< 9",M,13
PE,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
PE,SRAG,HOSPITAL,"< 9",F,1
PI,OUTRAS,HOSPITAL,"< 9",F,1
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PI,PNEUMONIA,HOSPITAL,"< 9",F,1
PR,OUTRAS,DOMICILIO,"< 9",M,1
PR,OUTRAS,HOSPITAL,"< 9",F,11
PR,OUTRAS,HOSPITAL,"< 9",M,13
PR,COVID,HOSPITAL,"< 9",F,1
PR,COVID,HOSPITAL,"< 9",M,2
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,3
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
PR,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PR,PNEUMONIA,HOSPITAL,"< 9",F,2
PR,SEPTICEMIA,HOSPITAL,"< 9",F,5
PR,SEPTICEMIA,HOSPITAL,"< 9",I,1
PR,SEPTICEMIA,HOSPITAL,"< 9",M,5
RJ,OUTRAS,DOMICILIO,"< 9",F,2
RJ,OUTRAS,DOMICILIO,"< 9",M,1
RJ,OUTRAS,HOSPITAL,"< 9",F,58
RJ,OUTRAS,HOSPITAL,"< 9",I,1
RJ,OUTRAS,HOSPITAL,"< 9",M,49
RJ,OUTRAS,IGNORADO,"< 9",M,1
RJ,OUTRAS,OUTRO,"< 9",F,1
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
RJ,COVID,HOSPITAL,"< 9",F,1
RJ,COVID,HOSPITAL,"< 9",M,5
RJ,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RJ,PNEUMONIA,HOSPITAL,"< 9",F,4
RJ,PNEUMONIA,HOSPITAL,"< 9",M,4
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
RJ,SEPTICEMIA,HOSPITAL,"< 9",F,22
RJ,SEPTICEMIA,HOSPITAL,"< 9",M,31
RJ,SRAG,HOSPITAL,"< 9",M,3
RN,OUTRAS,HOSPITAL,"< 9",F,2
RN,OUTRAS,HOSPITAL,"< 9",M,5
RN,COVID,HOSPITAL,"< 9",F,1
RN,COVID,HOSPITAL,"< 9",M,1
RN,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
RN,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
RN,SEPTICEMIA,HOSPITAL,"< 9",F,3
RN,SEPTICEMIA,HOSPITAL,"< 9",M,2
RO,OUTRAS,HOSPITAL,"< 9",M,3
RO,COVID,HOSPITAL,"< 9",M,1
RO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
RO,PNEUMONIA,HOSPITAL,"< 9",M,2
RO,SEPTICEMIA,HOSPITAL,"< 9",F,1
RO,SEPTICEMIA,HOSPITAL,"< 9",M,2
RR,OUTRAS,HOSPITAL,"< 9",F,3
RR,OUTRAS,HOSPITAL,"< 9",M,2
RR,COVID,HOSPITAL,"< 9",M,1
RR,PNEUMONIA,HOSPITAL,"< 9",M,1
RR,SEPTICEMIA,HOSPITAL,"< 9",F,1
RS,OUTRAS,DOMICILIO,"< 9",M,1
RS,OUTRAS,HOSPITAL,"< 9",F,22
RS,OUTRAS,HOSPITAL,"< 9",M,26
RS,OUTRAS,IGNORADO,"< 9",F,1
RS,OUTRAS,IGNORADO,"< 9",M,1
RS,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
RS,COVID,IGNORADO,"< 9",M,1
RS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,3
RS,PNEUMONIA,HOSPITAL,"< 9",F,1
RS,SEPTICEMIA,HOSPITAL,"< 9",F,10
RS,SEPTICEMIA,HOSPITAL,"< 9",M,15
RS,SEPTICEMIA,IGNORADO,"< 9",M,1
SC,OUTRAS,DOMICILIO,"< 9",F,3
SC,OUTRAS,DOMICILIO,"< 9",M,1
SC,OUTRAS,HOSPITAL,"< 9",F,10
SC,OUTRAS,HOSPITAL,"< 9",M,15
SC,COVID,HOSPITAL,"< 9",M,2
SC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
SC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,4
SC,PNEUMONIA,HOSPITAL,"< 9",F,2
SC,PNEUMONIA,HOSPITAL,"< 9",M,1
SC,SEPTICEMIA,HOSPITAL,"< 9",F,2
SC,SEPTICEMIA,HOSPITAL,"< 9",M,6
SE,OUTRAS,HOSPITAL,"< 9",F,5
SE,OUTRAS,HOSPITAL,"< 9",I,1
SE,OUTRAS,HOSPITAL,"< 9",M,4
SE,COVID,HOSPITAL,"< 9",F,1
SE,COVID,HOSPITAL,"< 9",M,2
SE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
SE,PNEUMONIA,HOSPITAL,"< 9",M,1
SE,SEPTICEMIA,HOSPITAL,"< 9",F,1
SE,SEPTICEMIA,HOSPITAL,"< 9",M,3
SP,OUTRAS,DOMICILIO,"< 9",F,4
SP,OUTRAS,DOMICILIO,"< 9",M,4
SP,OUTRAS,HOSPITAL,"< 9",F,94
SP,OUTRAS,HOSPITAL,"< 9",I,3
SP,OUTRAS,HOSPITAL,"< 9",M,110
SP,OUTRAS,IGNORADO,"< 9",F,5
SP,OUTRAS,IGNORADO,"< 9",M,12
SP,OUTRAS,OUTRO,"< 9",M,1
SP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
SP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
SP,OUTRAS,VIA_PUBLICA,"< 9",M,1
SP,COVID,HOSPITAL,"< 9",F,3
SP,COVID,HOSPITAL,"< 9",M,3
SP,COVID,IGNORADO,"< 9",F,1
SP,INDETERMINADA,HOSPITAL,"< 9",M,1
SP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,15
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,13
SP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
SP,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
SP,PNEUMONIA,DOMICILIO,"< 9",F,1
SP,PNEUMONIA,HOSPITAL,"< 9",F,3
SP,PNEUMONIA,HOSPITAL,"< 9",M,8
SP,SEPTICEMIA,HOSPITAL,"< 9",F,31
SP,SEPTICEMIA,HOSPITAL,"< 9",M,38
SP,SRAG,HOSPITAL,"< 9",F,1
SP,SRAG,HOSPITAL,"< 9",M,3
TO,OUTRAS,HOSPITAL,"< 9",F,2
TO,OUTRAS,HOSPITAL,"< 9",M,1
TO,PNEUMONIA,DOMICILIO,"< 9",M,1
TO,SEPTICEMIA,HOSPITAL,"< 9",F,3
TO,SEPTICEMIA,HOSPITAL,"< 9",M,2
AC,OUTRAS,DOMICILIO,"10 - 19",M,1
AC,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
AL,OUTRAS,DOMICILIO,"10 - 19",M,1
AL,OUTRAS,HOSPITAL,"10 - 19",M,2
AL,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
AL,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
AM,OUTRAS,DOMICILIO,"10 - 19",M,1
AM,OUTRAS,HOSPITAL,"10 - 19",F,1
AM,OUTRAS,HOSPITAL,"10 - 19",M,2
AM,OUTRAS,OUTRO,"10 - 19",M,1
AM,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
AM,COVID,HOSPITAL,"10 - 19",F,1
AM,INDETERMINADA,DOMICILIO,"10 - 19",M,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,1
AM,PNEUMONIA,HOSPITAL,"10 - 19",M,2
AP,PNEUMONIA,HOSPITAL,"10 - 19",M,1
BA,OUTRAS,DOMICILIO,"10 - 19",F,1
BA,OUTRAS,DOMICILIO,"10 - 19",M,1
BA,OUTRAS,HOSPITAL,"10 - 19",F,2
BA,OUTRAS,HOSPITAL,"10 - 19",M,3
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"10 - 19",F,1
BA,OUTRAS,VIA_PUBLICA,"10 - 19",F,2
BA,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
BA,PNEUMONIA,HOSPITAL,"10 - 19",M,1
BA,SEPTICEMIA,DOMICILIO,"10 - 19",M,1
CE,OUTRAS,HOSPITAL,"10 - 19",F,1
CE,OUTRAS,HOSPITAL,"10 - 19",M,2
CE,OUTRAS,IGNORADO,"10 - 19",M,4
CE,OUTRAS,OUTRO,"10 - 19",M,2
CE,OUTRAS,VIA_PUBLICA,"10 - 19",M,3
CE,PNEUMONIA,HOSPITAL,"10 - 19",M,2
CE,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
CE,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
DF,OUTRAS,HOSPITAL,"10 - 19",F,2
DF,OUTRAS,HOSPITAL,"10 - 19",M,2
DF,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
DF,COVID,HOSPITAL,"10 - 19",F,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
ES,OUTRAS,HOSPITAL,"10 - 19",F,3
ES,OUTRAS,HOSPITAL,"10 - 19",M,2
ES,OUTRAS,OUTRO,"10 - 19",M,1
ES,SEPTICEMIA,HOSPITAL,"10 - 19",M,2
GO,OUTRAS,HOSPITAL,"10 - 19",F,1
GO,OUTRAS,HOSPITAL,"10 - 19",M,3
GO,COVID,HOSPITAL,"10 - 19",F,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"10 - 19",F,1
MA,OUTRAS,HOSPITAL,"10 - 19",F,2
MA,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
MG,OUTRAS,DOMICILIO,"10 - 19",M,2
MG,OUTRAS,HOSPITAL,"10 - 19",F,3
MG,OUTRAS,HOSPITAL,"10 - 19",M,5
MG,OUTRAS,OUTRO,"10 - 19",M,4
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"10 - 19",M,3
MG,OUTRAS,VIA_PUBLICA,"10 - 19",M,4
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,2
MG,PNEUMONIA,HOSPITAL,"10 - 19",F,1
MG,PNEUMONIA,HOSPITAL,"10 - 19",M,3
MG,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
MG,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
MS,OUTRAS,DOMICILIO,"10 - 19",M,1
MS,OUTRAS,HOSPITAL,"10 - 19",F,2
MS,OUTRAS,HOSPITAL,"10 - 19",M,2
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,1
MT,OUTRAS,HOSPITAL,"10 - 19",M,2
MT,OUTRAS,IGNORADO,"10 - 19",M,1
MT,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
MT,SEPTICEMIA,IGNORADO,"10 - 19",F,1
PA,OUTRAS,DOMICILIO,"10 - 19",F,1
PA,OUTRAS,DOMICILIO,"10 - 19",M,1
PA,OUTRAS,HOSPITAL,"10 - 19",F,1
PA,OUTRAS,HOSPITAL,"10 - 19",M,2
PA,OUTRAS,OUTRO,"10 - 19",M,2
PA,OUTRAS,VIA_PUBLICA,"10 - 19",M,1
PA,COVID,HOSPITAL,"10 - 19",M,1
PA,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
PB,OUTRAS,DOMICILIO,"10 - 19",M,1
PB,OUTRAS,HOSPITAL,"10 - 19",F,3
PB,OUTRAS,OUTRO,"10 - 19",M,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"10 - 19",M,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
PB,PNEUMONIA,DOMICILIO,"10 - 19",M,1
PB,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
PE,OUTRAS,DOMICILIO,"10 - 19",M,2
PE,OUTRAS,HOSPITAL,"10 - 19",F,3
PE,OUTRAS,HOSPITAL,"10 - 19",M,3
PE,OUTRAS,OUTRO,"10 - 19",M,1
PE,OUTRAS,VIA_PUBLICA,"10 - 19",M,3
PE,PNEUMONIA,HOSPITAL,"10 - 19",F,1
PE,PNEUMONIA,HOSPITAL,"10 - 19",M,1
PE,SEPTICEMIA,HOSPITAL,"10 - 19",F,1
PE,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
PI,OUTRAS,HOSPITAL,"10 - 19",M,1
PR,OUTRAS,HOSPITAL,"10 - 19",F,2
PR,OUTRAS,HOSPITAL,"10 - 19",M,6
PR,OUTRAS,VIA_PUBLICA,"10 - 19",F,1
PR,OUTRAS,VIA_PUBLICA,"10 - 19",M,4
PR,COVID,HOSPITAL,"10 - 19",F,1
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,1
PR,PNEUMONIA,DOMICILIO,"10 - 19",F,1
PR,PNEUMONIA,HOSPITAL,"10 - 19",F,1
RJ,OUTRAS,HOSPITAL,"10 - 19",F,3
RJ,OUTRAS,HOSPITAL,"10 - 19",M,10
RJ,OUTRAS,OUTRO,"10 - 19",M,1
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"10 - 19",F,1
RJ,OUTRAS,VIA_PUBLICA,"10 - 19",M,2
RJ,COVID,HOSPITAL,"10 - 19",F,1
RJ,INDETERMINADA,HOSPITAL,"10 - 19",M,1
RJ,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"10 - 19",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,2
RJ,PNEUMONIA,HOSPITAL,"10 - 19",F,1
RJ,PNEUMONIA,HOSPITAL,"10 - 19",M,3
RJ,SEPTICEMIA,HOSPITAL,"10 - 19",F,4
RJ,SEPTICEMIA,HOSPITAL,"10 - 19",M,3
RN,OUTRAS,DOMICILIO,"10 - 19",M,1
RN,OUTRAS,HOSPITAL,"10 - 19",M,1
RN,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
RO,OUTRAS,DOMICILIO,"10 - 19",M,1
RO,OUTRAS,HOSPITAL,"10 - 19",F,2
RO,COVID,HOSPITAL,"10 - 19",F,1
RS,OUTRAS,HOSPITAL,"10 - 19",F,4
RS,OUTRAS,HOSPITAL,"10 - 19",M,1
RS,OUTRAS,OUTRO,"10 - 19",F,1
RS,OUTRAS,OUTRO,"10 - 19",M,2
RS,COVID,HOSPITAL,"10 - 19",F,1
RS,COVID,HOSPITAL,"10 - 19",M,1
RS,PNEUMONIA,HOSPITAL,"10 - 19",F,1
RS,PNEUMONIA,HOSPITAL,"10 - 19",M,2
RS,SEPTICEMIA,HOSPITAL,"10 - 19",M,1
RS,SEPTICEMIA,IGNORADO,"10 - 19",F,1
SC,OUTRAS,HOSPITAL,"10 - 19",M,4
SC,PNEUMONIA,HOSPITAL,"10 - 19",M,1
SC,SEPTICEMIA,DOMICILIO,"10 - 19",M,1
SE,OUTRAS,HOSPITAL,"10 - 19",F,1
SE,OUTRAS,OUTROS_SERVICOS_SAUDE,"10 - 19",F,1
SE,COVID,HOSPITAL,"10 - 19",M,1
SP,OUTRAS,DOMICILIO,"10 - 19",F,2
SP,OUTRAS,DOMICILIO,"10 - 19",M,3
SP,OUTRAS,HOSPITAL,"10 - 19",F,9
SP,OUTRAS,HOSPITAL,"10 - 19",M,19
SP,OUTRAS,OUTRO,"10 - 19",M,2
SP,OUTRAS,OUTROS_SERVICOS_SAUDE,"10 - 19",F,1
SP,OUTRAS,VIA_PUBLICA,"10 - 19",M,5
SP,COVID,HOSPITAL,"10 - 19",F,1
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",F,1
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"10 - 19",M,2
SP,PNEUMONIA,HOSPITAL,"10 - 19",F,4
SP,PNEUMONIA,HOSPITAL,"10 - 19",M,5
SP,SEPTICEMIA,HOSPITAL,"10 - 19",F,2
SP,SEPTICEMIA,HOSPITAL,"10 - 19",M,8
AC,OUTRAS,DOMICILIO,"20 - 29",M,1
AC,OUTRAS,OUTRO,"20 - 29",M,1
AC,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
AC,COVID,HOSPITAL,"20 - 29",F,1
AC,PNEUMONIA,HOSPITAL,"20 - 29",M,2
AC,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
AL,OUTRAS,DOMICILIO,"20 - 29",M,4
AL,OUTRAS,HOSPITAL,"20 - 29",F,1
AL,OUTRAS,HOSPITAL,"20 - 29",M,3
AL,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
AL,OUTRAS,VIA_PUBLICA,"20 - 29",M,3
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",F,1
